Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
LAA,AA,2022.0,23.81,43.79,9.29,5.03,2.55,1.39,0.23,0.11,0.12,0.26,1.59,0.31,0.71,5.9,5.53,0.38,5.2
LAA,AAA,2022.0,27.34,34.24,8.61,4.49,2.77,1.39,0.21,0.1,0.11,0.25,1.53,0.3,0.7,5.58,5.64,-0.06,5.86
LAA,CPX,2022.0,20.89,11.76,10.67,4.73,4.15,0.31,0.28,0.1,0.18,0.22,1.44,0.31,0.71,3.93,4.15,-0.22,4.75
LAA,DSL,2022.0,17.79,25.08,9.59,5.48,2.17,0.49,0.24,0.13,0.11,0.25,1.59,0.34,0.63,4.93,4.68,0.25,4.68
LAD,A,2022.0,22.17,25.09,10.98,5.92,2.44,1.21,0.27,0.14,0.14,0.24,1.6,0.32,0.64,6.83,5.79,1.04,5.29
LAD,A+,2022.0,22.75,31.24,12.08,5.97,2.49,0.59,0.31,0.14,0.18,0.19,1.4,0.28,0.72,3.73,3.83,-0.1,4.17
LAD,AA,2022.0,24.44,34.24,9.72,6.04,2.68,1.18,0.24,0.13,0.11,0.23,1.55,0.28,0.68,5.85,5.59,0.27,5.58
LAD,AAA,2022.0,27.96,26.41,10.39,5.04,3.38,1.0,0.26,0.12,0.14,0.24,1.54,0.31,0.68,5.47,4.8,0.67,5.21
LAD,CPX,2022.0,22.34,9.59,12.15,5.53,4.7,0.67,0.31,0.1,0.21,0.22,1.49,0.33,0.74,4.56,4.61,-0.05,4.65
LAD,DSL,2022.0,18.21,18.02,8.4,5.61,2.47,0.77,0.21,0.13,0.08,0.24,1.55,0.3,0.63,5.05,5.35,-0.3,5.0
MIA,A,2022.0,23.33,19.09,11.0,5.11,3.08,0.72,0.29,0.12,0.17,0.19,1.33,0.26,0.69,4.18,4.04,0.14,4.02
MIA,A+,2022.0,23.38,38.53,9.92,3.29,3.89,0.98,0.26,0.08,0.18,0.23,1.25,0.29,0.68,4.23,4.01,0.21,4.06
MIA,AA,2022.0,24.85,28.28,9.98,4.32,3.24,0.8,0.26,0.11,0.15,0.23,1.37,0.29,0.72,4.12,4.23,-0.11,4.57
MIA,AAA,2022.0,26.97,33.1,10.29,3.68,3.04,1.11,0.27,0.09,0.18,0.23,1.32,0.3,0.72,4.19,4.23,-0.04,4.44
MIA,CPX,2022.0,22.02,9.56,10.85,4.36,3.58,0.55,0.29,0.09,0.2,0.2,1.34,0.29,0.73,4.13,4.04,0.08,4.26
MIA,DSL,2022.0,17.9,18.23,8.51,5.74,2.95,0.72,0.21,0.13,0.08,0.25,1.67,0.32,0.6,6.36,5.32,1.04,5.04
MIL,A,2022.0,21.06,34.25,10.5,7.65,2.67,0.67,0.25,0.15,0.1,0.25,1.82,0.34,0.7,5.95,5.33,0.63,5.47
MIL,A+,2022.0,23.59,34.78,9.35,4.66,3.06,0.89,0.24,0.11,0.13,0.24,1.51,0.31,0.72,4.74,4.55,0.19,4.74
MIL,AA,2022.0,25.1,40.26,9.84,4.37,2.66,0.93,0.25,0.11,0.15,0.23,1.4,0.3,0.74,4.16,4.47,-0.31,4.62
